Season,Model,Accuracy,F1,AUC,FPR,FNR,Time_s
2016,Random Forest,0.5580192165558019,0.5490321760766232,0.5779816719320652,0.5052631578947369,0.3959131545338442,0.531
2017,Dummy Baseline,0.5840840840840841,0.3687203791469194,0.5,1.0,0.0,0.001
2017,Logistic Regression,0.6006006006006006,0.5913884250246797,0.6240777518955388,0.4584837545126354,0.35732647814910024,0.013
2017,Decision Tree,0.5758258258258259,0.5740914397801018,0.6099946173192392,0.3844765342960289,0.4524421593830334,0.021
2017,K-Nearest Neighbors,0.5960960960960962,0.4758437074854811,0.614615138325615,0.8592057761732852,0.07969151670951156,0.238
2017,Random Forest,0.5990990990990991,0.5884769281682546,0.6117254275983036,0.4729241877256318,0.3496143958868895,0.471
2018,Dummy Baseline,0.5896084337349398,0.37091425864519184,0.5,1.0,0.0,0.001
2018,Logistic Regression,0.5978915662650602,0.5881735316800312,0.6101069750547763,0.45871559633027525,0.36270753512132825,0.012
2018,Decision Tree,0.5978915662650602,0.5843149759903962,0.5904237993133913,0.4917431192660551,0.3397190293742018,0.019
2018,K-Nearest Neighbors,0.5971385542168675,0.46762938169088064,0.5806894208349445,0.8733944954128441,0.07535121328224777,0.217
2018,Random Forest,0.6031626506024096,0.5782107029962242,0.6047008096359567,0.5614678899082569,0.2822477650063857,0.443
2019,Dummy Baseline,0.5433866891322662,0.35207423580786024,0.5,1.0,0.0,0.001
2019,Logistic Regression,0.5678180286436394,0.5646030037931737,0.5881032066134615,0.47232472324723246,0.3984496124031008,0.013
2019,Decision Tree,0.5627632687447346,0.5564150474688672,0.587944449211934,0.514760147601476,0.37209302325581395,0.019
2019,K-Nearest Neighbors,0.5560235888795282,0.4545383994942559,0.5825924654595382,0.8634686346863468,0.09147286821705426,0.197
2019,Random Forest,0.5669755686604886,0.5607780068649358,0.5818844932635372,0.5092250922509225,0.3689922480620155,0.451
2020,Dummy Baseline,0.5452991452991452,0.3528761061946903,0.5,1.0,0.0,0.001
2020,Logistic Regression,0.5675213675213675,0.5636645047169812,0.5918901878520754,0.4793233082706767,0.3934169278996865,0.013
2020,Decision Tree,0.5572649572649573,0.5563198397638625,0.5782034435618827,0.43796992481203006,0.44670846394984326,0.02
2020,K-Nearest Neighbors,0.5709401709401709,0.4760084789311408,0.561865085912273,0.8402255639097744,0.08620689655172414,0.205
2020,Random Forest,0.576068376068376,0.5687905150557737,0.5899427251514366,0.5093984962406015,0.35266457680250785,0.516
2021,Dummy Baseline,0.5497382198952879,0.3547297297297297,0.5,1.0,0.0,0.002
2021,Logistic Regression,0.5804038893044129,0.5778495941754425,0.5961963522950708,0.4418604651162791,0.4013605442176871,0.018
2021,Decision Tree,0.5818997756170531,0.5679789637849002,0.5951476936289466,0.553156146179402,0.3074829931972789,0.025
2021,K-Nearest Neighbors,0.5587135377711294,0.47754066656069516,0.5876793906931543,0.8172757475083057,0.13333333333333333,0.253
2021,Random Forest,0.5863874345549738,0.5827988260872263,0.5958031052952742,0.45182724252491696,0.38231292517006804,0.55
2022,Dummy Baseline,0.6105476673427992,0.3790931989924433,0.5,1.0,0.0,0.001
2022,Logistic Regression,0.5334685598377282,0.5271476230191826,0.5562015503875969,0.4635416666666667,0.4684385382059801,0.017
2022,Decision Tree,0.537525354969574,0.5189008731381612,0.5411648671096346,0.5625,0.39867109634551495,0.025
2022,K-Nearest Neighbors,0.6085192697768763,0.4946758509344479,0.5471951135105204,0.828125,0.11295681063122924,0.131
2022,Random Forest,0.5436105476673428,0.5362764156267636,0.5674833887043189,0.4635416666666667,0.45182724252491696,0.546
