GAME_DATE_EST,GAME_ID,SEASON,HOME_TEAM_ID,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,HOME_TEAM_WINS,VISITOR_TEAM_ID,TEAM_ID,OPP_TEAM_ID,IS_HOME,WL,REST_DAYS_TEAM,B2B_TEAM,WIN_STREAK,PTS_L5,FG_PCT_L5,FT_PCT_L5,FG3_PCT_L5,AST_L5,REB_L5,WL_L5,PTS_L10,FG_PCT_L10,FT_PCT_L10,FG3_PCT_L10,AST_L10,REB_L10,WL_L10
2014-01-10,21300539,2013,1610612762,113.0,0.542,0.8,0.5,19.0,45.0,0,1610612739,1610612739,1610612762,0,1,3.0,0,1,86.8,0.382,0.7206,0.3026,18.8,51.8,0.4,93.9,0.4098,0.7455,0.35269999999999996,19.5,46.3,0.2
2008-04-11,20701180,2007,1610612738,86.0,0.3829999999999999,0.7,0.25,21.0,45.0,1,1610612749,1610612749,1610612738,0,0,2.0,0,0,101.0,0.45359999999999995,0.6923999999999999,0.3216,22.8,43.4,0.2,99.0,0.4385,0.7292,0.32739999999999997,21.8,46.1,0.2
2013-05-14,41200235,2012,1610612759,109.0,0.519,0.76,0.476,30.0,38.0,1,1610612744,1610612759,1610612744,1,1,2.0,0,0,102.4,0.4311999999999999,0.73,0.322,20.4,45.0,0.6,102.6,0.4532999999999999,0.7584000000000001,0.3463,22.3,43.3,0.6
2008-01-08,20700503,2007,1610612739,95.0,0.4,0.833,0.3329999999999999,20.0,46.0,1,1610612760,1610612739,1610612760,1,1,2.0,0,3,90.4,0.4114,0.688,0.3088,18.2,48.0,0.8,93.2,0.41629999999999995,0.6956,0.28389999999999993,19.1,46.1,0.7
2020-09-15,41900301,2019,1610612738,117.0,0.471,0.75,0.444,32.0,41.0,0,1610612748,1610612748,1610612738,0,1,7.0,0,1,112.8,0.4586,0.8636000000000001,0.373,24.8,44.4,0.8,110.1,0.45100000000000007,0.8150999999999999,0.3674,23.4,45.2,0.8
2014-03-23,21301044,2013,1610612742,104.0,0.385,0.774,0.3229999999999999,21.0,52.0,0,1610612751,1610612742,1610612751,1,0,2.0,0,1,111.0,0.5044,0.8412000000000001,0.4744,25.2,43.2,0.8,106.4,0.4793,0.8035,0.4197,23.2,41.2,0.6
2018-10-25,21800066,2018,1610612747,121.0,0.5,0.826,0.345,27.0,42.0,1,1610612743,1610612747,1610612743,1,1,1.0,1,1,125.2,0.5062,0.7066,0.3456,29.4,47.0,0.4,118.2,0.48469999999999996,0.7242,0.31639999999999996,27.2,45.1,0.4
2011-03-16,21001010,2010,1610612762,104.0,0.42,0.75,0.3,13.0,42.0,1,1610612750,1610612750,1610612762,0,0,3.0,0,0,100.2,0.4372,0.6892,0.4084,21.8,48.8,0.4,100.3,0.4429,0.762,0.3768,22.7,48.1,0.4
2016-10-15,11600068,2016,1610612747,107.0,0.429,0.7879999999999999,0.3329999999999999,21.0,38.0,0,1610612744,1610612747,1610612744,1,0,2.0,0,0,106.8,0.45620000000000005,0.6508,0.3654,21.6,41.0,0.4,106.8,0.45620000000000005,0.6508,0.3654,21.6,41.0,0.4
2013-04-17,21201217,2012,1610612751,103.0,0.481,0.7390000000000001,0.3329999999999999,28.0,38.0,1,1610612765,1610612751,1610612765,1,1,2.0,0,1,103.0,0.45899999999999996,0.6826000000000001,0.37700000000000006,18.8,45.6,0.8,101.7,0.4716,0.6975,0.3582,20.2,43.4,0.6
